village,HHnum_in_village,hohreligion,castesubcaste,rooftype1,rooftype2,rooftype3,rooftype4,rooftype5,room_no,bed_no,electricity,latrine,ownrent,leader,adopt
1,90,HINDUISM,N/A,0,0,1,0,0,2,1,"Yes, Private",Owned,OWNED,0,0
1,91,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,92,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Government",None,OWNED,1,1
1,93,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Government",Owned,OWNED,0,0
1,94,HINDUISM,N/A,0,0,0,0,0,2,1,"Yes, Private",None,OWNED,0,0
1,95,HINDUISM,N/A,0,0,0,0,0,3,1,"Yes, Private",None,OWNED,0,0
1,96,HINDUISM,N/A,0,0,0,0,1,5,0,"Yes, Private",Owned,OWNED,0,1
1,97,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Government",None,OWNED,0,1
1,98,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Government",Common,OWNED,0,0
1,99,HINDUISM,N/A,0,0,0,0,1,4,0,"Yes, Private",Owned,OWNED,0,0
1,100,HINDUISM,N/A,0,1,0,0,0,1,0,"Yes, Government",None,OWNED,0,0
1,101,HINDUISM,N/A,0,0,1,0,0,3,0,"Yes, Private",None,OWNED,0,0
1,102,HINDUISM,N/A,0,0,0,0,0,3,1,"Yes, Private",None,OWNED,0,0
1,103,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Government",None,OWNED,0,1
1,104,HINDUISM,N/A,0,0,0,1,0,1,1,"Yes, Government",None,OWNED,0,1
1,105,HINDUISM,N/A,0,0,1,0,0,3,2,"Yes, Private",Owned,OWNED,0,0
1,106,HINDUISM,N/A,0,0,0,0,1,5,1,"Yes, Private",Owned,OWNED,0,0
1,107,HINDUISM,N/A,0,0,0,0,0,5,1,No,Owned,OWNED,0,1
1,108,HINDUISM,N/A,0,0,0,0,0,4,0,"Yes, Private",Owned,OWNED,0,1
1,109,HINDUISM,N/A,0,0,1,0,0,2,1,"Yes, Government",Owned,OWNED,0,0
1,110,HINDUISM,N/A,0,0,0,0,0,2,0,No,Owned,OWNED,0,1
1,111,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Private",None,OWNED,0,0
1,112,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Government",None,OWNED,0,1
1,113,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Private",None,OWNED,0,0
1,114,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Government",None,OWNED,0,1
1,115,HINDUISM,N/A,0,0,0,0,0,4,0,"Yes, Private",Owned,OWNED,0,0
1,116,HINDUISM,N/A,0,0,0,0,0,4,0,"Yes, Government",None,OWNED,0,0
1,117,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Government",None,OWNED,0,1
1,118,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Government",None,OWNED,0,0
1,119,HINDUISM,N/A,0,0,0,0,1,2,2,"Yes, Private",None,OWNED,0,0
1,120,HINDUISM,N/A,0,0,0,0,1,3,0,"Yes, Government",Owned,OWNED,0,0
1,121,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,122,HINDUISM,N/A,0,0,0,0,0,1,0,"Yes, Private",None,OWNED,0,0
1,123,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Government",Owned,OWNED,0,0
1,124,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Government",None,OWNED,0,1
1,125,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,126,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Private",Owned,OWNED,1,0
1,127,HINDUISM,N/A,0,0,0,0,0,1,0,"Yes, Government",Owned,OWNED,0,0
1,128,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,129,HINDUISM,N/A,0,0,0,0,0,1,0,"Yes, Private",None,OWNED,0,0
1,130,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,131,HINDUISM,N/A,0,0,0,1,0,1,0,No,None,OWNED,0,1
1,132,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,133,HINDUISM,N/A,0,1,0,0,0,1,1,"Yes, Private",None,OWNED,1,0
1,134,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Private",None,OWNED,1,0
1,135,HINDUISM,N/A,0,1,0,0,0,1,0,"Yes, Government",None,OWNED,0,0
1,136,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Private",None,OWNED,1,0
1,137,HINDUISM,N/A,0,1,0,0,0,3,0,"Yes, Private",None,OWNED,0,0
1,138,HINDUISM,N/A,0,1,0,0,0,1,0,"Yes, Private",None,OWNED BUT SHARED,0,0
1,139,HINDUISM,N/A,0,0,0,1,0,1,0,No,None,OWNED,0,1
1,140,HINDUISM,N/A,0,1,0,0,0,1,0,No,Owned,OWNED,1,0
1,141,HINDUISM,N/A,0,1,0,0,0,1,0,"Yes, Government",None,OWNED,0,0
1,142,HINDUISM,N/A,0,0,0,0,0,1,0,No,None,OWNED,0,0
1,143,HINDUISM,N/A,0,0,0,1,0,1,1,No,None,OWNED,0,0
1,144,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Government",None,OWNED,0,0
1,145,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,146,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Government",None,OWNED,0,0
1,147,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Government",None,OWNED,0,0
1,148,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Government",None,OWNED,0,0
1,149,HINDUISM,N/A,0,0,0,0,0,1,0,"Yes, Government",None,OWNED,0,0
1,150,HINDUISM,N/A,0,0,0,0,1,2,1,No,None,RENTED,0,0
1,151,HINDUISM,N/A,0,1,0,0,0,1,0,"Yes, Private",None,OWNED,0,0
1,152,HINDUISM,N/A,0,0,0,0,0,2,1,"Yes, Government",None,OWNED,0,1
1,153,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Private",None,OWNED,0,0
1,154,HINDUISM,N/A,0,0,0,0,0,1,0,No,None,OWNED,0,1
1,155,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Private",Owned,OWNED,0,0
1,156,HINDUISM,N/A,0,0,0,0,0,1,0,"Yes, Private",None,OWNED,0,1
1,157,HINDUISM,N/A,0,0,1,0,0,3,1,"Yes, Private",None,OWNED,1,0
1,158,HINDUISM,N/A,0,0,1,0,0,3,1,"Yes, Private",Owned,OWNED,0,0
1,159,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,160,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,161,HINDUISM,N/A,0,1,0,0,0,2,2,"Yes, Government",None,OWNED,0,0
1,162,HINDUISM,N/A,0,0,1,0,0,7,3,"Yes, Private",Owned,OWNED BUT SHARED,0,0
1,163,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Government",Owned,OWNED,1,1
1,164,HINDUISM,N/A,0,0,0,1,0,2,1,"Yes, Government",None,GIVEN BY GOVERNMENT,0,1
1,165,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Government",None,OWNED,0,0
1,166,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Private",Owned,OWNED,0,0
1,167,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Private",None,OWNED,0,0
1,168,HINDUISM,N/A,0,0,0,1,0,2,1,"Yes, Private",None,OWNED,0,0
1,169,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Private",None,OWNED,0,1
1,170,HINDUISM,N/A,0,0,1,0,0,1,1,"Yes, Private",Owned,OWNED,0,0
1,171,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Government",None,OWNED,0,0
1,172,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Government",None,OWNED,0,0
1,173,HINDUISM,N/A,0,0,1,0,0,2,2,"Yes, Private",Owned,OWNED,1,0
1,174,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Government",None,OWNED,0,0
1,175,HINDUISM,N/A,0,0,1,0,0,2,0,No,None,OWNED,0,0
1,176,HINDUISM,N/A,0,0,0,1,0,3,0,No,None,OWNED,0,1
1,177,HINDUISM,N/A,0,0,1,0,0,2,1,"Yes, Government",None,OWNED,1,1
1,178,HINDUISM,N/A,0,0,0,0,1,2,1,"Yes, Private",Owned,OWNED,1,0
1,179,HINDUISM,N/A,0,1,0,0,0,1,0,"Yes, Government",None,OWNED,1,0
1,180,HINDUISM,N/A,0,0,1,0,0,2,1,"Yes, Private",Owned,OWNED,0,0
1,181,HINDUISM,N/A,0,0,0,1,0,3,2,"Yes, Private",None,OWNED,0,1
1,182,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,183,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Private",None,OWNED,0,0
2,1,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Private",None,OWNED,1,1
2,2,HINDUISM,N/A,0,0,0,1,0,2,1,"Yes, Private",None,RENTED,0,0
2,3,HINDUISM,N/A,0,0,0,1,0,1,3,"Yes, Private",None,OWNED,0,0
2,4,HINDUISM,N/A,0,1,0,0,0,2,1,No,None,OWNED,0,1
2,5,HINDUISM,N/A,0,1,0,0,0,2,5,"Yes, Private",None,OWNED,0,0
2,6,HINDUISM,N/A,0,0,0,1,0,2,6,"Yes, Private",Owned,OWNED,0,0
2,7,HINDUISM,N/A,0,0,0,1,0,4,1,"Yes, Private",Owned,OWNED,1,0
2,8,HINDUISM,N/A,0,0,0,1,0,3,1,"Yes, Private",None,OWNED,0,0
2,9,HINDUISM,N/A,0,0,1,0,0,3,1,"Yes, Private",None,OWNED,0,1
2,10,HINDUISM,N/A,0,0,0,1,0,3,1,"Yes, Private",Owned,OWNED,0,0
2,11,HINDUISM,N/A,0,0,0,1,0,4,2,"Yes, Private",Owned,OWNED,0,0
2,12,HINDUISM,N/A,0,1,0,0,0,2,4,"Yes, Private",Owned,OWNED,0,0
2,13,HINDUISM,N/A,0,0,0,1,0,1,1,"Yes, Private",None,OWNED,0,0
2,14,HINDUISM,N/A,0,0,0,1,0,2,1,"Yes, Private",Owned,OWNED,0,0
2,15,HINDUISM,N/A,0,0,0,1,0,3,5,"Yes, Private",Owned,RENTED,0,0
2,16,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Private",None,RENTED,0,0
2,17,HINDUISM,N/A,0,0,0,1,0,2,1,"Yes, Government",Owned,OWNED,0,0
2,18,HINDUISM,N/A,0,0,0,1,0,3,5,"Yes, Private",None,OWNED,0,0
2,19,HINDUISM,N/A,0,0,0,1,0,3,0,"Yes, Private",None,OWNED,0,0
2,20,HINDUISM,N/A,0,0,0,1,0,1,2,"Yes, Private",None,OWNED,0,0
2,21,HINDUISM,N/A,0,0,1,0,0,3,1,"Yes, Private",None,OWNED,0,0
2,22,HINDUISM,N/A,0,0,0,1,0,1,4,"Yes, Private",None,OWNED,0,0
2,23,HINDUISM,N/A,0,0,0,0,1,3,2,"Yes, Private",Owned,OWNED,0,1
2,24,HINDUISM,N/A,0,1,0,0,0,1,2,"Yes, Private",Owned,OWNED,0,0
2,25,HINDUISM,N/A,0,1,0,0,0,3,0,"Yes, Private",None,OWNED,0,0
2,26,HINDUISM,N/A,0,0,0,1,0,2,4,"Yes, Private",None,OWNED,0,0
2,27,HINDUISM,N/A,0,0,0,0,1,3,0,"Yes, Private",Owned,OWNED,0,0
2,28,HINDUISM,N/A,0,0,0,1,0,4,1,"Yes, Private",Owned,OWNED,0,0
2,29,HINDUISM,N/A,0,0,1,0,0,2,2,"Yes, Private",None,OWNED,0,0
2,30,HINDUISM,N/A,0,0,0,0,1,6,0,"Yes, Private",Owned,OWNED,0,0
2,31,HINDUISM,N/A,0,0,0,1,0,2,1,"Yes, Private",None,OWNED,0,0
2,32,HINDUISM,N/A,0,0,0,0,1,5,3,"Yes, Private",Owned,OWNED,0,0
2,33,HINDUISM,N/A,0,0,0,1,0,3,5,"Yes, Private",Owned,OWNED,0,0
2,34,HINDUISM,N/A,0,1,0,0,0,2,6,No,Owned,OWNED,0,0
2,35,HINDUISM,N/A,0,0,0,1,0,3,6,"Yes, Private",Owned,OWNED,0,0
2,36,HINDUISM,N/A,0,0,0,1,0,3,1,"Yes, Private",Owned,OWNED,1,0
2,37,HINDUISM,N/A,0,0,1,0,0,2,5,"Yes, Private",Owned,OWNED,0,0
2,38,HINDUISM,N/A,0,0,1,0,0,3,5,"Yes, Private",Owned,OWNED,0,0
2,39,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Private",None,OWNED,0,0
2,40,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Government",None,OWNED,0,0
2,41,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Private",None,OWNED,0,0
2,42,HINDUISM,N/A,0,0,1,0,0,3,4,"Yes, Private",Owned,OWNED,1,1
2,43,HINDUISM,N/A,0,1,0,0,0,1,2,No,None,OWNED,0,0
2,44,HINDUISM,N/A,0,1,0,0,0,1,7,"Yes, Private",Owned,OWNED,0,0
2,45,HINDUISM,N/A,0,1,0,0,0,2,3,"Yes, Private",None,OWNED,0,0
2,46,HINDUISM,N/A,0,0,1,0,0,2,2,"Yes, Private",Owned,OWNED,1,1
2,47,HINDUISM,N/A,0,1,0,0,0,2,2,"Yes, Private",Owned,OWNED,0,1
2,48,HINDUISM,N/A,0,1,0,0,0,1,2,"Yes, Government",None,OWNED,0,0
2,49,HINDUISM,N/A,0,1,0,0,0,1,1,"Yes, Government",None,OWNED,0,0
2,50,HINDUISM,N/A,0,1,0,0,0,2,4,"Yes, Private",Owned,OWNED,0,0
2,51,HINDUISM,N/A,0,1,0,0,0,2,3,"Yes, Private",None,OWNED,1,0
2,52,HINDUISM,N/A,0,0,0,1,0,1,1,"Yes, Private",None,OWNED,0,0
2,53,HINDUISM,N/A,0,1,0,0,0,2,4,"Yes, Government",Owned,OWNED,0,1
2,54,HINDUISM,N/A,0,1,0,0,0,3,4,"Yes, Private",None,OWNED,1,0
2,55,HINDUISM,N/A,0,1,0,0,0,1,0,"Yes, Private",None,OWNED,1,0
2,56,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Private",Owned,OWNED,0,0
2,57,HINDUISM,N/A,0,1,0,0,0,1,1,"Yes, Private",None,OWNED,1,0
2,58,HINDUISM,N/A,0,0,0,1,0,2,4,"Yes, Private",None,OWNED,0,0
2,59,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Private",None,OWNED,0,0
2,60,HINDUISM,N/A,1,0,0,0,0,1,1,"Yes, Government",None,OWNED,0,0
2,61,HINDUISM,N/A,0,0,0,1,0,1,1,"Yes, Government",None,OWNED,0,1
2,62,HINDUISM,N/A,0,0,0,1,0,1,2,"Yes, Private",None,OWNED,0,0
2,63,HINDUISM,N/A,1,0,0,0,0,1,1,"Yes, Government",None,OWNED,0,1
2,64,HINDUISM,N/A,0,1,0,0,0,1,2,"Yes, Private",None,OWNED,0,0
2,65,HINDUISM,N/A,0,0,0,1,0,2,4,"Yes, Private",None,OWNED,0,0
2,66,HINDUISM,N/A,0,1,0,0,0,2,1,"Yes, Private",None,OWNED,0,0
2,67,HINDUISM,N/A,0,1,0,0,0,2,4,"Yes, Private",None,OWNED,1,0
2,68,HINDUISM,N/A,0,0,0,1,0,2,3,"Yes, Private",None,OWNED,0,0
2,69,HINDUISM,N/A,0,1,0,0,0,2,0,No,None,OWNED,1,0
2,70,HINDUISM,N/A,0,0,0,1,0,2,3,"Yes, Private",None,OWNED,0,0
2,71,HINDUISM,N/A,0,0,0,1,0,1,1,No,None,OWNED,0,0
2,72,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Government",None,OWNED,0,0
2,73,HINDUISM,N/A,0,1,0,0,0,2,2,"Yes, Private",None,OWNED,0,0
2,74,HINDUISM,N/A,0,0,0,1,0,4,2,"Yes, Private",Owned,OWNED,0,0
2,75,HINDUISM,N/A,0,0,0,1,0,1,0,No,None,OWNED,0,0
2,76,HINDUISM,N/A,0,0,0,1,0,2,3,"Yes, Government",None,OWNED,0,0
2,77,HINDUISM,N/A,0,0,0,1,0,0,0,"Yes, Government",None,OWNED,0,0
2,78,HINDUISM,N/A,0,1,0,0,0,2,2,"Yes, Private",None,OWNED,0,0
2,79,HINDUISM,N/A,0,0,1,0,0,3,3,"Yes, Government",None,OWNED,0,0
2,80,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Private",Owned,OWNED,0,0
2,81,HINDUISM,N/A,0,1,0,0,0,2,1,"Yes, Private",None,OWNED,0,0
2,82,HINDUISM,N/A,0,1,0,0,0,1,0,No,None,OWNED,0,0
2,83,HINDUISM,N/A,0,1,0,0,0,2,2,"Yes, Private",None,OWNED,0,0
2,84,HINDUISM,N/A,0,0,0,1,0,2,1,"Yes, Private",None,RENTED,0,0
2,85,HINDUISM,N/A,0,1,0,0,0,2,1,"Yes, Government",None,OWNED,0,0
2,86,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Private",None,OWNED,0,0
2,87,HINDUISM,N/A,0,1,0,0,0,2,1,"Yes, Private",None,OWNED,0,0
2,88,HINDUISM,N/A,0,0,0,1,0,4,5,"Yes, Government",None,OWNED,0,0
2,89,HINDUISM,N/A,0,0,0,1,0,1,3,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
2,90,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Government",None,OWNED,0,0
2,91,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Government",Owned,OWNED,0,0
2,92,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Private",None,OWNED,0,0
2,93,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Government",None,OWNED,0,0
2,94,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Private",None,OWNED,0,1
2,95,HINDUISM,N/A,0,0,0,1,0,1,2,No,None,OWNED,0,0
2,96,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Government",None,OWNED,0,0
2,97,HINDUISM,N/A,0,0,0,1,0,1,1,"Yes, Government",None,OWNED,0,0
2,98,HINDUISM,N/A,0,1,0,0,0,2,2,"Yes, Private",None,OWNED,0,0
2,99,HINDUISM,N/A,0,1,0,0,0,1,4,"Yes, Private",Owned,OWNED,0,0
2,100,HINDUISM,N/A,0,1,0,0,0,1,1,"Yes, Government",None,OWNED,0,0
2,101,HINDUISM,N/A,0,0,0,1,0,2,1,"Yes, Private",Owned,OWNED,0,0
2,102,HINDUISM,N/A,0,0,1,0,0,6,8,"Yes, Private",Owned,OWNED,0,1
